Date,Close
1/30/2023 16:00:00,166.66
1/31/2023 16:00:00,173.22
2/1/2023 16:00:00,181.41
2/2/2023 16:00:00,188.27
2/3/2023 16:00:00,189.98
2/6/2023 16:00:00,194.76
2/7/2023 16:00:00,196.81
2/8/2023 16:00:00,201.29
2/9/2023 16:00:00,207.32
2/10/2023 16:00:00,196.89
2/13/2023 16:00:00,194.64
2/14/2023 16:00:00,209.25
2/15/2023 16:00:00,214.24
2/16/2023 16:00:00,202.04
2/17/2023 16:00:00,208.31
2/21/2023 16:00:00,197.37
2/22/2023 16:00:00,200.86
2/23/2023 16:00:00,202.07
2/24/2023 16:00:00,196.88
2/27/2023 16:00:00,207.63
2/28/2023 16:00:00,205.71
3/1/2023 16:00:00,202.77
3/2/2023 16:00:00,190.9
3/3/2023 16:00:00,197.79
3/6/2023 16:00:00,193.81
3/7/2023 16:00:00,187.71
3/8/2023 16:00:00,182
3/9/2023 16:00:00,172.92
3/10/2023 16:00:00,173.44
3/13/2023 16:00:00,174.48
3/14/2023 16:00:00,183.26
3/15/2023 16:00:00,180.45
3/16/2023 16:00:00,184.13
3/17/2023 16:00:00,180.13
3/20/2023 16:00:00,183.25
3/21/2023 16:00:00,197.58
3/22/2023 16:00:00,191.15
3/23/2023 16:00:00,192.22
3/24/2023 16:00:00,190.41
3/27/2023 16:00:00,191.81
3/28/2023 16:00:00,189.19
3/29/2023 16:00:00,193.88
3/30/2023 16:00:00,195.28
3/31/2023 16:00:00,207.46
4/3/2023 16:00:00,194.77
4/4/2023 16:00:00,192.58
4/5/2023 16:00:00,185.52
4/6/2023 16:00:00,185.06
4/10/2023 16:00:00,184.51
4/11/2023 16:00:00,186.79
4/12/2023 16:00:00,180.54
4/13/2023 16:00:00,185.9
4/14/2023 16:00:00,185
4/17/2023 16:00:00,187.04
4/18/2023 16:00:00,184.31
4/19/2023 16:00:00,180.59
4/20/2023 16:00:00,162.99
4/21/2023 16:00:00,165.08
4/24/2023 16:00:00,162.55
4/25/2023 16:00:00,160.67
4/26/2023 16:00:00,153.75
4/27/2023 16:00:00,160.19
4/28/2023 16:00:00,164.31
5/1/2023 16:00:00,161.83
5/2/2023 16:00:00,160.31
5/3/2023 16:00:00,160.61
5/4/2023 16:00:00,161.2
5/5/2023 16:00:00,170.06
5/8/2023 16:00:00,171.79
5/9/2023 16:00:00,169.15
5/10/2023 16:00:00,168.54
5/11/2023 16:00:00,172.08
5/12/2023 16:00:00,167.98
5/15/2023 16:00:00,166.35
5/16/2023 16:00:00,166.52
5/17/2023 16:00:00,173.86
5/18/2023 16:00:00,176.89
5/19/2023 16:00:00,180.14
5/22/2023 16:00:00,188.87
5/23/2023 16:00:00,185.77
5/24/2023 16:00:00,182.9
5/25/2023 16:00:00,184.47
5/26/2023 16:00:00,193.17
5/30/2023 16:00:00,201.16
5/31/2023 16:00:00,203.93
6/1/2023 16:00:00,207.52
6/2/2023 16:00:00,213.97
6/5/2023 16:00:00,217.61
6/6/2023 16:00:00,221.31
6/7/2023 16:00:00,224.57
6/8/2023 16:00:00,234.86
6/9/2023 16:00:00,244.4
6/12/2023 16:00:00,249.83
6/13/2023 16:00:00,258.71
6/14/2023 16:00:00,256.79
6/15/2023 16:00:00,255.9
6/16/2023 16:00:00,260.54
6/20/2023 16:00:00,274.45
6/21/2023 16:00:00,259.46
6/22/2023 16:00:00,264.61
6/23/2023 16:00:00,256.6
6/26/2023 16:00:00,241.05
6/27/2023 16:00:00,250.21
6/28/2023 16:00:00,256.24
6/29/2023 16:00:00,257.5
6/30/2023 16:00:00,261.77
7/3/2023 13:05:00,279.82
7/5/2023 16:00:00,282.48
7/6/2023 16:00:00,276.54
7/7/2023 16:00:00,274.43
7/10/2023 16:00:00,269.61
7/11/2023 16:00:00,269.79
7/12/2023 16:00:00,271.99
7/13/2023 16:00:00,277.9
7/14/2023 16:00:00,281.38
7/17/2023 16:00:00,290.38
7/18/2023 16:00:00,293.34
