Date,Close
1/30/2023 16:00:00,12.02
1/31/2023 16:00:00,12.07
2/1/2023 16:00:00,12.1
2/2/2023 16:00:00,11.96
2/3/2023 16:00:00,11.19
2/6/2023 16:00:00,10.93
2/7/2023 16:00:00,10.92
2/8/2023 16:00:00,10.65
2/9/2023 16:00:00,10.47
2/10/2023 16:00:00,10.31
2/13/2023 16:00:00,10.31
2/14/2023 16:00:00,10.31
2/15/2023 16:00:00,10.5
2/16/2023 16:00:00,10.19
2/17/2023 16:00:00,10.19
2/21/2023 16:00:00,10.03
2/22/2023 16:00:00,10.18
2/23/2023 16:00:00,9.79
2/24/2023 16:00:00,9.3
2/27/2023 16:00:00,9.33
2/28/2023 16:00:00,9.39
3/1/2023 16:00:00,8.83
3/2/2023 16:00:00,9.09
3/3/2023 16:00:00,9.57
3/6/2023 16:00:00,9.31
3/7/2023 16:00:00,8.97
3/8/2023 16:00:00,9.18
3/9/2023 16:00:00,8.79
3/10/2023 16:00:00,8.51
3/13/2023 16:00:00,8.55
3/14/2023 16:00:00,8.42
3/15/2023 16:00:00,8.25
3/16/2023 16:00:00,8.5
3/17/2023 16:00:00,8.26
3/20/2023 16:00:00,8.75
3/21/2023 16:00:00,9.27
3/22/2023 16:00:00,9.09
3/23/2023 16:00:00,9.27
3/24/2023 16:00:00,9.07
3/27/2023 16:00:00,8.93
3/28/2023 16:00:00,9.2
3/29/2023 16:00:00,9.83
3/30/2023 16:00:00,10.46
3/31/2023 16:00:00,10.51
4/3/2023 16:00:00,9.8
4/4/2023 16:00:00,9.21
4/5/2023 16:00:00,8.96
4/6/2023 16:00:00,9.01
4/10/2023 16:00:00,9.05
4/11/2023 16:00:00,9.52
4/12/2023 16:00:00,9.01
4/13/2023 16:00:00,9.1
4/14/2023 16:00:00,9.27
4/17/2023 16:00:00,9.83
4/18/2023 16:00:00,9.47
4/19/2023 16:00:00,8.79
4/20/2023 16:00:00,8.28
4/21/2023 16:00:00,8.33
4/24/2023 16:00:00,8.29
4/25/2023 16:00:00,7.9
4/26/2023 16:00:00,7.68
4/27/2023 16:00:00,7.97
4/28/2023 16:00:00,7.87
5/1/2023 16:00:00,7.81
5/2/2023 16:00:00,7.45
5/3/2023 16:00:00,7.64
5/4/2023 16:00:00,8.06
5/5/2023 16:00:00,8.15
5/8/2023 16:00:00,8.27
5/9/2023 16:00:00,8.16
5/10/2023 16:00:00,8.13
5/11/2023 16:00:00,8.45
5/12/2023 16:00:00,7.95
5/15/2023 16:00:00,8.25
5/16/2023 16:00:00,7.91
5/17/2023 16:00:00,8.03
